id,policy_section,content
1,Hospitalization Coverage,The health insurance policy covers hospitalization expenses including room rent nursing charges ICU charges doctor consultation fees and medicines during the hospital stay.
2,Pre and Post Hospitalization,The policy covers medical expenses incurred 30 days before hospitalization and 60 days after discharge including diagnostic tests and follow up consultations.
3,Ambulance Charges,Ambulance expenses up to ₹2000 per hospitalization are covered when transporting the insured person to the hospital in case of emergency.
4,Day Care Procedures,The policy covers day care treatments that require less than 24 hours of hospitalization such as cataract surgery dialysis chemotherapy and radiotherapy.
5,Pre Existing Diseases,Pre existing diseases are covered after a waiting period of 3 years from the policy start date.
6,Waiting Period,There is a general waiting period of 30 days from the policy start date except for accidental hospitalization which is covered from day one.
7,Maternity Coverage,Maternity expenses including delivery hospitalization and newborn baby coverage are included after a waiting period of 2 years.
8,Health Checkups,The policy provides free annual health checkups for insured members after every policy renewal year.
9,Network Hospitals,Cashless treatment is available at network hospitals where the insurer directly settles the medical bills with the hospital.
10,Claim Process,To file a claim the insured person must submit hospital bills discharge summary diagnostic reports identity proof and claim form to the insurance provider.
11,Policy Renewal,The policy can be renewed annually by paying the renewal premium before the expiry date to continue uninterrupted coverage.
12,Room Rent Limit,The policy covers room rent up to 1 percent of the total sum insured per day and ICU charges up to 2 percent of the sum insured per day.
13,Exclusions,The policy does not cover cosmetic surgery dental treatment infertility treatment or injuries caused due to participation in hazardous activities.
14,Organ Donor Coverage,Expenses related to organ donor hospitalization during organ transplant procedures are covered under this policy.
15,No Claim Bonus,If no claim is made during the policy year the sum insured will increase by 10 percent as a no claim bonus up to a maximum of 50 percent.
